ID,Phase / Item,Platform,Format,Tone of Language,Needs Description/Caption,Needs Thumbnail/Image,Additional Syntax / Constraints
1,1. Pre-Launch Phase,,,,,,
1.1,1.1 Short Form Video (Teasers - REMOVED),,,,,,
1.2,1.2 Network,,,,,,
1.2.1,1.2.1 WhatsApp Evolute Tribe Message,WhatsApp,Voice/Text Message,"Deeply human, warm, peer-to-peer. Organic lexicon acknowledging shared journeys and community.",Yes - Script or short text,No,"Min 800 chars, ideal max 1,000 chars for mobile reading. Include the direct URL in the message body."
1.2.2,1.2.2 Email Guest Favour (Pre-launch awareness),Email,Direct Email,"Humble, appreciative, respectful. Expert-curated framing of the podcast content.",Yes - Full email copy,Yes - Header image,"Min 1,000 chars. No strict maximum character limit. Embed direct hyperlinks or clear call-to-action buttons."
2,2. Launch Day (Phase 1),,,,,,
2.2,2.2 LinkedIn,,,,,,
2.2.1,2.2.1 Host Main Post (Narrative #1),LinkedIn,Long-form text,Intellectually rigorous & business-focused. Addresses high-performers on how anxiety hides as 'staying on top of things'. Observational and humble ('One idea stayed with me').,Yes - Long-form text,Yes - Image/Video,"Min 1,200 chars, Max 3,000 chars. Include direct URL in the post body or direct viewers to the 'link in the comments'."
2.2.2,2.2.2 Co-Founder Post (Narrative #2),LinkedIn,Long-form text,"Deeply empathetic & philosophical. Focuses on internal friction, 'innocent lies', and the discomfort of true clarity. Honours the complexity of inner shifts.",Yes - Long-form text,Yes - Image/Video,"Min 1,000 chars, Max 3,000 chars. Include direct URL in the post body or 'link in the comments'."
2.2.4,2.2.4 Company Page Repost Dmitrij's post,LinkedIn,Repost with context,"Honest, pioneering, and grounded. Sets the overarching context of 'crossroads' in a safe, curated space. Entirely invitational.",Yes - Contextual caption,No - Repost,"Min 700 chars, Max 3,000 chars. Direct URL inclusion."
2.3,2.3 Short Form Video (SFV Clip 1),Cross-Platform,SFV,,,,
2.3.1,2.3.1 SFV Clip 1,Cross-Platform,SFV,,,,
2.3.1.1,IG Reel,Instagram,Reel,Purposeful concision & paradox. Highlights the contrast between fast-paced culture and somatic regulation.,Yes - Reel caption,Yes - Video & Thumbnail,"Min 500 chars, Max 1,000 chars. Must use 'Link in bio' for the full episode. Include 7-10 hashtags."
2.3.1.2,YT Shorts,YouTube,Shorts,"Scientifically credible. Grounded in psychological concepts with clear, expert delivery.",Yes - Short description,Yes - Video,"Min 500 chars, Max 1,200 chars in description. Provide direct clickable URL."
2.3.1.3,TikTok,TikTok,Shorts,"Approachable yet scientifically credible. Avoids trendy slang, focuses on deep transformation.",Yes - Short description,Yes - Video,"Min 500 chars, Max 1,000 chars. Direct viewers to 'Link in bio'."
2.3.2,2.3.2 Story (Countdown + BTS + Swipe-up),Instagram,Story,Engaging but grounded. Minimalist text driving to the core content safely.,Yes - Overlay text,Yes - Image/Video,Min 50 chars. Visual limits apply. Use direct 'Link Sticker'.
2.6,2.6 Newsletter,,,,,,
2.6.1,2.6.1 Podcast Announcement Text,Newsletter,Direct Email,Deeply human and empathetic. Acknowledges the profound weight of human transitions. Reads like a letter from a fellow explorer.,Yes - Full email copy,Yes - Header/Thumbnail,"Min 1,200 chars. No strict maximum limit. Ensure prominent, hyperlinked buttons."
3,3. Launch Week (Phase 2),,,,,,
3.1,3.1 L+1 (Thursday),,,,,,
3.2,3.2 L+2 (Friday),,,,,,
3.2.1,3.2.1 Image Post (Quote Card 1),LinkedIn/IG,Image Post,Visually striking. Carries the weight of 'epistemic humility' – sharing a profound insight simply.,Yes - Engaging caption,Yes - Quote Card Graphic,"Min 900 chars, Max 1,000 chars. LI: Direct link. IG: 'Link in bio'."
3.2.10,3.2.10 LinkedIn Host Reflection (Different Narrative),LinkedIn,Long-form text,"Personal, vulnerable, and reflective. Uses organic lexicon to discuss the somatic paradox (stretching time through stillness) against tech acceleration.",Yes - Long-form text,Yes - Image,"Min 1,000 chars, Max 3,000 chars. Direct URL or 'link in comments'."
3.2.2,3.2.2 SFV Clip 2 (Friday L+2),Cross-Platform,SFV,,,,
3.2.2.1,IG Reel,Instagram,Reel,Organic lexicon focus. Contrasts mechanical 'machine' mindset with 'ecosystem/garden' mindset for sustainable growth.,Yes - Reel caption,Yes - Video & Thumbnail,"Min 500 chars, Max 1,000 chars. Must use 'Link in bio'."
3.2.2.2,YT Shorts,YouTube,Shorts,Organic lexicon focus. Contrasts mechanical 'machine' mindset with 'ecosystem/garden' mindset for sustainable growth.,Yes - Short description,Yes - Video,"Min 500 chars, Max 1,200 chars. Direct clickable URL."
3.2.2.3,TikTok,TikTok,Shorts,Organic lexicon focus. Contrasts mechanical 'machine' mindset with 'ecosystem/garden' mindset for sustainable growth.,Yes - Short description,Yes - Video,"Min 500 chars, Max 1,000 chars. Direct viewers to 'Link in bio'."
3.4,3.4 L+4 (Sunday),,,,,,
3.4.1,YouTube Long Clip,YouTube,Long-form Video,Expert & curated. Deep dive into the mechanics of anxiety versus curiosity.,Yes - Detailed description,Yes - Video & Thumbnail,"Min 800 chars, Max 2,000 chars. Include episode timestamps and direct URLs."
3.5,3.5 L+5 (Monday),,,,,,
3.5.1,YouTube Long Clip 2,YouTube,Long-form Video,Transformative & deep. Focuses on breaking free from social conditioning to find alignment.,Yes - Detailed description,Yes - Video & Thumbnail,"Min 800 chars, Max 2,000 chars. Include episode timestamps and direct URLs."
3.6,3.6 L+6 (Tuesday),,,,,,
3.6.3,3.6.3 LinkedIn Company Image Post (Quote Card),LinkedIn,Image Post,"Foundational brand voice. Safe, grounded, and offering a pioneering insight.",Yes - Engaging caption,Yes - Quote Card Graphic,"Min 900 chars, Max 1,000 chars. Direct link inclusion."
3.7,3.7 L+7 (Wrap-Up),,,,,,
3.7.1,3.7.1 Instagram Carousel (3 Key Insights),Instagram,Carousel,"Purposeful concision. Focuses on 3 unique takes from the guest conversation. Slides 2-4 are the core insights.",Yes - Carousel caption,Yes - Carousel Graphics,"5 slides total. Insights (Slides 2-4) around 250-300 chars each (excl. spaces). Min 900, Max 1,000 chars for caption. 'Link in bio'."
3.7.2,3.7.2 LinkedIn Carousel (3 Key Insights),LinkedIn,Carousel,"Intellectually rigorous breakdown of 3 unique takes from the guest. Slides 2-4 are the core insights.",Yes - Carousel caption,Yes - Carousel Graphics,"5 slides total. Insights (Slides 2-4) around 250-300 chars each (excl. spaces). Min 900, Max 1,000 chars for caption. Direct link."
4,4. Sustained Momentum (Week 2 & 3),,,,,,
4.1,4.1 L+9 (Friday) - SFV Clip 3,Cross-Platform,SFV,High-vigor sustained insight.,Yes - Caption,Yes - Video,"Standard SFV constraints apply."
4.2,4.2 L+10 (Saturday) - SFV Clip 4,Cross-Platform,SFV,High-vigor sustained insight.,Yes - Caption,Yes - Video,"Standard SFV constraints apply."
4.3,4.3 L+16 (Friday) - SFV Clip 5,Cross-Platform,SFV,High-vigor sustained insight.,Yes - Caption,Yes - Video,"Standard SFV constraints apply."
4.4,4.4 L+17 (Saturday) - SFV Clip 6,Cross-Platform,SFV,High-vigor sustained insight.,Yes - Caption,Yes - Video,"Standard SFV constraints apply."
5,Blog / Article Idea [TO BE USED LATER - Evergreen Content],Blog,Article,"Comprehensive, scholarly but deeply human. Blends scientific credibility with profound spiritual exploration.",Yes - Full article body,Yes - Header image,"Min 4,000 chars. No maximum character limit. Use inline hyperlinks for SEO optimisation."
